genre,tracks
Pop,4475
Rock,2456
Hip Hop,2294
Latin,1916
R&B,1321
Traditional Music,1241
Electronic,817
Country,485
Folk,223
Metal,216
New Age,119
Easy Listening,117
Reggae,101
Jazz,81
Christian,72
Classical,27
Blues,21
